collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
12816		Coelurus			10624	"United States"	Wyoming	Albany	41.893056	-106.002222	Jurassic		155.700	145.500
12816		Allosaurus		Antrodemus	10624	"United States"	Wyoming	Albany	41.893056	-106.002222	Jurassic		155.700	145.500
12977		Stygimoloch	"n. gen."	Stenotholus	4306	"United States"	Montana	McCone	47.695833	-106.227778	Cretaceous	"Cretaceous 8"	70.2	69.6
13108		Tarbosaurus			4373	Mongolia	Omnogov		43.54	99.6	Cretaceous	"Cretaceous 8"	70.600	65.000
13108		Mononykus			4373	Mongolia	Omnogov		43.54	99.6	Cretaceous	"Cretaceous 8"	70.600	65.000
13142		Triceratops			4377	"United States"	Montana	"McCone County"	47.8	-106.1	Cretaceous	"Cretaceous 8"	69.4	69.2
13142		Edmontosaurus		Anatosaurus	4377	"United States"	Montana	"McCone County"	47.8	-106.1	Cretaceous	"Cretaceous 8"	69.4	69.2
13142		Orodromeus		Thescelosaurus	4377	"United States"	Montana	"McCone County"	47.8	-106.1	Cretaceous	"Cretaceous 8"	69.4	69.2
13209	?	Titanosaurus		Laplatasaurus	4386	Argentina	Salta	Candelaria	-24.3	-65.266667	Cretaceous	"Cretaceous 7"	83.500	70.600
13209	"n. gen."	Unquillosaurus			4386	Argentina	Salta	Candelaria	-24.3	-65.266667	Cretaceous	"Cretaceous 7"	83.500	70.600
13212		Diplodocus			7813	"United States"	Wyoming	Albany	41.8931	-106.41	Jurassic		155.700	145.500
13212		Camarasaurus	"n. gen."	Morosaurus	7813	"United States"	Wyoming	Albany	41.8931	-106.41	Jurassic		155.700	145.500
13212		Camarasaurus		Morosaurus	7813	"United States"	Wyoming	Albany	41.8931	-106.41	Jurassic		155.700	145.500
13212		Camarasaurus		Pleurocoelus	7813	"United States"	Wyoming	Albany	41.8931	-106.41	Jurassic		155.700	145.500
13212		Camarasaurus		Morosaurus	7813	"United States"	Wyoming	Albany	41.8931	-106.41	Jurassic		155.700	145.500
13212		Allosaurus	"n. gen."	Creosaurus	7813	"United States"	Wyoming	Albany	41.8931	-106.41	Jurassic		155.700	145.500
13214		Allosaurus		Creosaurus	4387	"United States"	Wyoming		42.035833	-106.39	Jurassic		155.700	145.500
13214		Diplodocus			4387	"United States"	Wyoming		42.035833	-106.39	Jurassic		155.700	145.500
13214		Camarasaurus		Morosaurus	4387	"United States"	Wyoming		42.035833	-106.39	Jurassic		155.700	145.500
13214		Allosaurus			4387	"United States"	Wyoming		42.035833	-106.39	Jurassic		155.700	145.500
13214		Stegosaurus			4387	"United States"	Wyoming		42.035833	-106.39	Jurassic		155.700	145.500
13214		Allosaurus		Antrodemus	4387	"United States"	Wyoming		42.035833	-106.39	Jurassic		155.700	145.500
13268		Hypsilophodon			4398	"United Kingdom"	England	"Isle of Wight"	50.6545	-1.468	Cretaceous		130.000	112.000
13274		Carcharodontosaurus			9649	Morocco			30.900000	-3.966667	Cretaceous		112.000	93.500
13279	"n. gen."	Scutellosaurus			4405	"United States"	Arizona	Coconino	35.679167	-111.027778	Jurassic		199.600	175.600
13280		Scutellosaurus			4405	"United States"	Arizona		35.736667	-111.073611	Jurassic		199.600	175.600
13281		Troodon		Hypsilophodontidae	4406	"United States"	Montana	Teton	47.812500	-112.182778	Cretaceous	"Cretaceous 7"	76.0	69.2
13281		Orodromeus		Hypsilophodontidae	4406	"United States"	Montana	Teton	47.812500	-112.182778	Cretaceous	"Cretaceous 7"	76.0	69.2
13282		Spheroolithus			4406	"United States"	Montana	Teton	47.812500	-112.182778	Cretaceous	"Cretaceous 7"	69.4	69.2
13282		Maiasaura			4406	"United States"	Montana	Teton	47.812500	-112.182778	Cretaceous	"Cretaceous 7"	69.4	69.2
13284	"n. gen."	Goyocephale			4408	Mongolia	Omnogov		48.583333	102.066667	Cretaceous		85.800	65.000
