collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
45264		Richardoestesia			16643	Canada	Alberta		50.747657	-111.502131	Cretaceous	"Cretaceous 7"	79.2	79.0
45264		Dromaeosaurus			16643	Canada	Alberta		50.747657	-111.502131	Cretaceous	"Cretaceous 7"	79.2	79.0
45264		Saurornitholestes			16643	Canada	Alberta		50.747657	-111.502131	Cretaceous	"Cretaceous 7"	79.2	79.0
45264		Thescelosaurus			16643	Canada	Alberta		50.747657	-111.502131	Cretaceous	"Cretaceous 7"	79.2	79.0
45299		Richardoestesia			11749	"United States"	"North Dakota"	Slope	46.4643	-104.24	Cretaceous	"Cretaceous 8"	66.9	66.3
45299		Tyrannosaurus			11749	"United States"	"North Dakota"	Slope	46.4643	-104.24	Cretaceous	"Cretaceous 8"	66.9	66.3
45312		Tyrannosaurus			11749	"United States"	"North Dakota"	Slope	46.4643	-104.24	Cretaceous	"Cretaceous 8"	69.4	66.3
45325	"n. gen."	Vegavis		Presbyornithidae	11792	Antarctica			-63.870556	-57.574444	Cretaceous	"Cretaceous 8"	70.600	65.000
45329		Pinacosaurus			11795	Mongolia	Omnogov	"Gurvan Tes"	43.664444	100.901944	Cretaceous	"Cretaceous 7"	83.500	70.600
45329	"n. gen."	Apsaravis			11795	Mongolia	Omnogov	"Gurvan Tes"	43.664444	100.901944	Cretaceous	"Cretaceous 7"	83.500	70.600
45330	"n. gen."	Echinodon			14066	"United Kingdom"	England	Dorsetshire	50.6	-1.96667	Cretaceous	"Cretaceous 1"	145.500	140.200
45381		Tyrannosaurus			11749	"United States"	"North Dakota"	Slope	46.3629	-103.8979	Cretaceous	"Cretaceous 8"	66.9	66.7
45388		Tyrannosaurus			11749	"United States"	"South Dakota"	Harding	45.93903	-103.9461	Cretaceous	"Cretaceous 8"	69.4	66.7
45389		Tyrannosaurus			11749	"United States"	"South Dakota"	Harding	45.93903	-103.9461	Cretaceous	"Cretaceous 8"	69.4	66.7
45390		Richardoestesia			11749	"United States"	"South Dakota"	Harding	45.93903	-103.9461	Cretaceous	"Cretaceous 8"	69.4	66.7
45390		Thescelosaurus			11749	"United States"	"South Dakota"	Harding	45.93903	-103.9461	Cretaceous	"Cretaceous 8"	69.4	66.7
45390		Tyrannosaurus			11749	"United States"	"South Dakota"	Harding	45.93903	-103.9461	Cretaceous	"Cretaceous 8"	69.4	66.7
45391		Richardoestesia			11749	"United States"	"South Dakota"	Harding	45.93903	-103.9461	Cretaceous	"Cretaceous 8"	69.4	66.7
45393	"n. gen."	Jiayinosauropus			11814	China	Heilongjiang	Jiayin	48.91667	130.4167	Cretaceous	"Cretaceous 5"	99.600	93.500
45407	"n. gen."	Bonitasaura			11820	Argentina	"Río Negro"	"Cerro Policía"	-39.633333	-68.35	Cretaceous		85.800	70.600
45408	"n. gen."	Tianzhenosaurus		Ankylosauridae	11821	China	Shanxi	Tianzhen	40.1900	114.439	Cretaceous		99.600	65.000
45408	cf.	Shantungosaurus			11821	China	Shanxi	Tianzhen	40.1900	114.439	Cretaceous		99.600	65.000
45408	"n. gen."	Huabeisaurus		Titanosauridae	11821	China	Shanxi	Tianzhen	40.1900	114.439	Cretaceous		99.600	65.000
45409	"n. gen."	Andesaurus			11825	Argentina	Neuquén	Confluencia	-39.2803	-68.7563	Cretaceous		112.000	93.500
45413	"n. gen."	Equijubus		Iguanodontidae	11827	China	Gansu		41.583333	97.583333	Cretaceous		130.000	112.000
45438	"n. gen."	Arenysaurus		Hadrosauridae	17660	Spain	Aragon	Huesca	42.26667	0.73333	Cretaceous	"Cretaceous 8"	67.6	65.5
45488		Titanosaurus			11901	Argentina			-40	-66	Cretaceous		99.600	65.000
45513	"n. gen."	Unaysaurus			13838	Brazil	"Rio Grande do Sul"		-29.601389	-53.856944	Triassic	"Triassic 4"	216.500	203.600
45530	?	Dracovenator		Syntarsus	11945	"South Africa"	"Free State"	Ladybrand	-27	26.97667	Jurassic	"Jurassic 1"	199.600	189.600
45531		Coelophysis		Syntarsus	11945	"South Africa"	"Free State"	Ladybrand	-28.35	25.68	Jurassic	"Jurassic 1"	199.600	189.600
45532		Eubrontes			11946	Zimbabwe	"Mashonaland West"	Hurungwe	-16.174656	29.999701	Jurassic		175.600	145.500
45533		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.142222	29.507222	Jurassic		199.600	175.600
45535		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.165556	29.487222	Jurassic		199.600	175.600
45536		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.165278	29.477778	Jurassic		199.600	175.600
45537		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.135278	29.562778	Jurassic		199.600	175.600
45542		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.140833	29.494167	Jurassic		199.600	175.600
45543		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.158056	29.494722	Jurassic		199.600	175.600
45544		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.155278	29.483056	Jurassic		199.600	175.600
45545		Massospondylus			11947	Zimbabwe	"Matabeleland South"		-22.150278	29.540000	Jurassic		199.600	175.600
45560		Saurornitholestes			11964	Canada	Alberta		50.68682	-111.138975	Cretaceous	"Cretaceous 7"	81.3	76.2
45561		Saurornitholestes			11964	Canada	Alberta		49.127654	-110.872474	Cretaceous	"Cretaceous 7"	81.3	76.2
45561		Richardoestesia			11964	Canada	Alberta		49.127654	-110.872474	Cretaceous	"Cretaceous 7"	81.3	76.2
45564		Richardoestesia			11964	Canada	Alberta		49.127881	-110.87453	Cretaceous	"Cretaceous 7"	81.3	81.1
45564		Saurornitholestes			11964	Canada	Alberta		49.127881	-110.87453	Cretaceous	"Cretaceous 7"	81.3	81.1
45565		Saurornitholestes			11964	Canada	Alberta		49.98024	-110.938988	Cretaceous	"Cretaceous 7"	81.3	76.2
45565		Richardoestesia			11964	Canada	Alberta		49.98024	-110.938988	Cretaceous	"Cretaceous 7"	81.3	76.2
45566		Saurornitholestes			11964	Canada	Alberta		49.100049	-110.93967	Cretaceous	"Cretaceous 7"	81.3	76.2
45567		Saurornitholestes			11964	Canada	Alberta		49.101848	-110.941038	Cretaceous	"Cretaceous 7"	78.8	78.6
45670		Saurornitholestes			11964	Canada	Alberta		49.81963	-110.840068	Cretaceous	"Cretaceous 7"	81.3	76.2
45671		Troodon			11964	Canada	Alberta		49.75457	-110.684399	Cretaceous	"Cretaceous 7"	80.1	76.2
45671		Saurornitholestes			11964	Canada	Alberta		49.75457	-110.684399	Cretaceous	"Cretaceous 7"	80.1	76.2
45671		Richardoestesia			11964	Canada	Alberta		49.75457	-110.684399	Cretaceous	"Cretaceous 7"	80.1	76.2
45674		Saurornitholestes			11964	Canada	Alberta		49.77593	-110.683642	Cretaceous	"Cretaceous 7"	78.8	78.6
45674		Dromaeosaurus			11964	Canada	Alberta		49.77593	-110.683642	Cretaceous	"Cretaceous 7"	78.8	78.6
45674		Richardoestesia			11964	Canada	Alberta		49.77593	-110.683642	Cretaceous	"Cretaceous 7"	78.8	78.6
45675		Thescelosaurus			12049	Canada	Saskatchewan		49.36667	-106.3833	Cretaceous	"Cretaceous 8"	70.600	65.000
45675		Triceratops			12049	Canada	Saskatchewan		49.36667	-106.3833	Cretaceous	"Cretaceous 8"	70.600	65.000
45675		Edmontosaurus		Thespesius	12049	Canada	Saskatchewan		49.36667	-106.3833	Cretaceous	"Cretaceous 8"	70.600	65.000
45675		Triceratops			12049	Canada	Saskatchewan		49.36667	-106.3833	Cretaceous	"Cretaceous 8"	70.600	65.000
45675		Ornithomimus			12049	Canada	Saskatchewan		49.36667	-106.3833	Cretaceous	"Cretaceous 8"	70.600	65.000
45676		Edmontosaurus		Trachodon	12051	Canada	Alberta		51.5063	-112.6555	Cretaceous	"Cretaceous 8"	65.6	65.4
45677		Hypacrosaurus			12052	Canada	Alberta		51.9064	-112.9701	Cretaceous	"Cretaceous 8"	70.600	65.000
45678		Hypacrosaurus			12052	Canada	Alberta		51.7973	-112.9583	Cretaceous	"Cretaceous 8"	70.600	65.000
45679		Albertosaurus			17004	"United States"	Missouri	Bollinger	37.317778	-90.027778	Cretaceous		99.600	65.000
45680		Edmontonia		Palaeoscincus	12057	"United States"	Montana	Glacier	48.9646	-112.6644	Cretaceous	"Cretaceous 7"	70.6	70.0
45681		Dyoplosaurus			12057	"United States"	Montana	Glacier	48.9355	-112.6424	Cretaceous	"Cretaceous 7"	83.500	70.600
45682		Rubeosaurus		Styracosaurus	12057	"United States"	Montana	Glacier	48.9646	-112.7084	Cretaceous	"Cretaceous 7"	90.4	90.2
45683	"n. gen."	Chirostenotes			12060	Canada	Alberta		50.7861	-111.4774	Cretaceous	"Cretaceous 7"	83.500	70.600
45684	"n. gen."	Richardoestesia		Chirostenotes	12060	Canada	Alberta		50.7279	-111.5119	Cretaceous	"Cretaceous 7"	81.3	76.2
45718		Alamosaurus			14585	"United States"	Utah	Emery	39.1991	-111.2355	Cretaceous	"Cretaceous 8"	92.4	92.2
45719		Torosaurus	?	Ceratopsia	14585	"United States"	Utah	Emery	39.2281	-111.2543	Cretaceous	"Cretaceous 8"	66.5	66.3
45721		Alamosaurus			14585	"United States"	Utah	Emery	39.1701	-111.2731	Cretaceous	"Cretaceous 8"	92.4	92.2
45722		Alamosaurus			12090	"United States"	Utah	Emery	39.1831	-111.3087	Cretaceous	"Cretaceous 8"	92.4	92.2
45730		Chasmosaurus			12106	Canada	Alberta		50.781798	-111.596625	Cretaceous	"Cretaceous 7"	83.500	70.600
45731		Chasmosaurus		Chasmosaurus	12104	Canada	Alberta		50.745419	-111.489266	Cretaceous	"Cretaceous 7"	83.500	70.600
45732		Ornithomimus			12105	Canada	Alberta		51.6154	-112.8656	Cretaceous	"Cretaceous 8"	70.600	65.000
45733		Euoplocephalus	"n. gen."	Anodontosaurus	12107	Canada	Alberta		50.7497	-114.2024	Cretaceous	"Cretaceous 8"	70.600	65.000
45752	"n. gen."	Ornithomimipus			12111	Canada	Alberta		51.8046	-112.9466	Cretaceous	"Cretaceous 8"	70.600	65.000
45753		Troodon	"n. gen."	Stenonychosaurus	12114	Canada	Alberta		50.8006	-111.6039	Cretaceous	"Cretaceous 7"	83.500	70.600
45755		Chirostenotes	"n. gen."	Macrophalangia	12114	Canada	Alberta		50.809267	-111.631563	Cretaceous	"Cretaceous 7"	83.500	70.600
45758		Thescelosaurus			12117	Canada	Alberta		51.71	-112.9113	Cretaceous	"Cretaceous 8"	81.7	70.8
45796	"n. gen."	Stormbergia		Fabrosauridae	12138	"South Africa"	"Eastern Cape"	Herschel	-30.61667	27.8	Jurassic	"Jurassic 1"	199.600	189.600
45796	cf.	Stormbergia		Fabrosauridae	12138	"South Africa"	"Eastern Cape"	Herschel	-30.61667	27.8	Jurassic	"Jurassic 1"	199.600	189.600
45819		Richardoestesia			11964	Canada	Alberta		49.159098	-110.722211	Cretaceous	"Cretaceous 7"	78.8	78.6
45819		Saurornitholestes			11964	Canada	Alberta		49.159098	-110.722211	Cretaceous	"Cretaceous 7"	78.8	78.6
45820		Saurornitholestes			11964	Canada	Alberta		49.137969	-110.848456	Cretaceous	"Cretaceous 7"	81.3	76.2
45821		Saurornitholestes			11964	Canada	Alberta		49.16179	-110.719453	Cretaceous	"Cretaceous 7"	81.3	76.2
45821		Richardoestesia			11964	Canada	Alberta		49.16179	-110.719453	Cretaceous	"Cretaceous 7"	81.3	76.2
45821		Troodon			11964	Canada	Alberta		49.16179	-110.719453	Cretaceous	"Cretaceous 7"	81.3	76.2
45822		Saurornitholestes			11964	Canada	Alberta		49.76289	-110.700765	Cretaceous	"Cretaceous 7"	80.1	76.2
45860		Saurolophus		Trachodontidae	18651	"United States"	Wyoming	Sweetwater	41.8673	-109.1387	Cretaceous	"Cretaceous 7"	83.500	70.600
45876		Ankylosaurus			18564	Canada	Alberta		51.8628	-113.54	Cretaceous	"Cretaceous 8"	65.6	65.5
45877		Ankylosaurus			15450	Canada	Alberta		51.8773	-113.54	Cretaceous	"Cretaceous 8"	65.6	65.5
45878		Ankylosaurus		Dynamosaurus	9259	"United States"	Wyoming	Niobrara	43.4418	-104.4116	Cretaceous	"Cretaceous 8"	65.6	65.5
45878		Triceratops			9259	"United States"	Wyoming	Niobrara	43.4418	-104.4116	Cretaceous	"Cretaceous 8"	65.6	65.5
45878		Tyrannosaurus	"n. gen."	Dynamosaurus	9259	"United States"	Wyoming	Niobrara	43.4418	-104.4116	Cretaceous	"Cretaceous 8"	65.6	65.5
45879		Ankylosaurus			11822	"United States"	Montana	"Powder River"	45.5502	-105.114722	Cretaceous	"Cretaceous 8"	65.6	65.5
45883		Proceratosaurus		Megalosaurus	12213	"United Kingdom"	England	Gloucestershire	51.7030	-2.195	Jurassic	"Jurassic 4"	167.700	164.700
45892		Saurornitholestes			11964	Canada	Alberta		49.76289	-110.700765	Cretaceous	"Cretaceous 7"	81.3	76.2
45892		Richardoestesia			11964	Canada	Alberta		49.76289	-110.700765	Cretaceous	"Cretaceous 7"	81.3	76.2
45892		Troodon			11964	Canada	Alberta		49.76289	-110.700765	Cretaceous	"Cretaceous 7"	81.3	76.2
45893		Troodon			11964	Canada	Alberta		49.74078	-110.71584	Cretaceous	"Cretaceous 7"	81.3	76.2
45893		Saurornitholestes			11964	Canada	Alberta		49.74078	-110.71584	Cretaceous	"Cretaceous 7"	81.3	76.2
45894		Saurornitholestes			11964	Canada	Alberta		49.75844	-110.702822	Cretaceous	"Cretaceous 7"	80.9	76.2
45894		Dromaeosaurus			11964	Canada	Alberta		49.75844	-110.702822	Cretaceous	"Cretaceous 7"	80.9	76.2
45894		Richardoestesia			11964	Canada	Alberta		49.75844	-110.702822	Cretaceous	"Cretaceous 7"	80.9	76.2
45897		Troodon			11964	Canada	Alberta		49.187007	-110.732347	Cretaceous	"Cretaceous 7"	78.8	78.6
45897		Saurornitholestes			11964	Canada	Alberta		49.187007	-110.732347	Cretaceous	"Cretaceous 7"	78.8	78.6
45897		Richardoestesia			11964	Canada	Alberta		49.187007	-110.732347	Cretaceous	"Cretaceous 7"	78.8	78.6
45898		Dromaeosaurus			11964	Canada	Alberta		49.19385	-110.734388	Cretaceous	"Cretaceous 7"	80.9	76.2
45898		Troodon			11964	Canada	Alberta		49.19385	-110.734388	Cretaceous	"Cretaceous 7"	80.9	76.2
45898		Richardoestesia			11964	Canada	Alberta		49.19385	-110.734388	Cretaceous	"Cretaceous 7"	80.9	76.2
45898		Saurornitholestes			11964	Canada	Alberta		49.19385	-110.734388	Cretaceous	"Cretaceous 7"	80.9	76.2
45899		Saurornitholestes			11964	Canada	Alberta		49.72575	-110.659029	Cretaceous	"Cretaceous 7"	78.8	78.6
45900		Sphaerovum			12226	Argentina	"La Pampa"	Hucal	-38.200833	-64.493333	Cretaceous		83.500	65.000
45901		Sphaerovum			12226	Argentina	"La Pampa"	Hucal	-38.237778	-64.4025	Cretaceous		83.500	65.000
45918		Iguanodon		Vectisaurus	12230	"United Kingdom"	England	"Isle of Wight"	50.7	-1.3	Cretaceous	"Cretaceous 2"	136.400	125.000
45929	"n. gen."	Paranthodon	"n. gen."	Palaeoscincus	18592	"South Africa"	"Eastern Cape"		-33.55	26.18333	Cretaceous	"Cretaceous 1"	145.500	136.400
45932		Cetiosaurus			12235	"United Kingdom"	England	Gloucestershire	51.951667	-1.745	Jurassic	"Jurassic 4"	167.700	164.700
45941	"n. gen."	Atlasaurus		Cetiosaurinae	12238	Morocco	Azilal		32.3333	-6.216667	Jurassic		167.700	161.200
45943		Rebbachisaurus			12241	Morocco	Azilal		32.2	-6.23333	Cretaceous		112.000	93.500
45958		Cetiosaurus		Dinosauria	30817	Morocco	Boulemane		33.427	-4.419	Jurassic	"Jurassic 4"	167.700	164.700
45960		Cetiosaurus			12258	Morocco	Boulemane		33.45	-4.465	Jurassic	"Jurassic 4"	167.700	164.700
45963		Cetiosaurus			12258	Morocco	Boulemane		33.464	-4.43333	Jurassic	"Jurassic 4"	167.700	164.700
45964		Cetiosaurus			13647	Morocco	Boulemane		33.467	-4.43333	Jurassic	"Jurassic 4"	167.700	164.700
45965		Cetiosaurus			12258	Morocco	Boulemane		33.475	-4.454	Jurassic	"Jurassic 4"	167.700	164.700
45970		Cetiosaurus			12258	Morocco	Boulemane		33.479	-4.326	Jurassic	"Jurassic 4"	167.700	164.700
45975		Diplodocus		Diplodocoidea	12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Ceratosaurus		Ceratosaurus	12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975	cf.	Marshosaurus		Marshosaurus	12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975	"n. gen."	Supersaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975	?	Ornitholestes			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975	"n. gen."	Torvosaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Apatosaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Camarasaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Camptosaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Allosaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Supersaurus	""""	Ultrasaurus	12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975	cf.	Stokesosaurus		Stokesosaurus	12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Dryosaurus		Dryosaurus	12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975	"n. gen."	Dystylosaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975	?	Coelurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Barosaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
45975		Stegosaurus			12259	"United States"	Colorado	Montrose	38.5831	-108.3972	Jurassic	"Jurassic 6"	150.2	150.2
46075	"n. gen."	Genyodectes			10263	Argentina	Chubut	"Paso de Indios"	-44.48333	-70.93	Cretaceous	"Cretaceous 3"	125.000	112.000
46076		Limaysaurus			12292	Argentina	Neuquén	"La Picaza"	-39.581667	-70.088611	Cretaceous		125.000	99.600
46077	cf.	Thecodontosaurus			12290	"United Kingdom"	"South Wales"	Glamorgan	51.506111	-3.478333	Triassic	"Triassic 3"	228.000	216.500
46095		Ornithomimus			2997	Canada	Alberta		54.9184	-115.412	Cretaceous	"Cretaceous 8"	70.600	65.000
46119		Triceratops		Ceratops	10620	"United States"	Wyoming	Niobrara	42.176944	-104.474722	Cretaceous	"Cretaceous 8"	66	65.4
46120		Edmontosaurus		Trachodon	12304	"United States"	Wyoming	Converse	42.584444	-105.394444	Cretaceous	"Cretaceous 8"	65.6	65.4
46121	"n. gen."	Monoclonius			15650	"United States"	Montana	Chouteau	47.740278	-109.619167	Cretaceous	"Cretaceous 7"	83.500	70.600
46121		Monoclonius			15650	"United States"	Montana	Chouteau	47.740278	-109.619167	Cretaceous	"Cretaceous 7"	83.500	70.600
46122		Monoclonius			9274	"United States"	Montana	Blaine	47.772222	-108.946944	Cretaceous	"Cretaceous 7"	83.500	70.600
46126		Triceratops		Triceratops	12304	"United States"	Wyoming	Niobrara	43.157778	-104.553333	Cretaceous	"Cretaceous 8"	66	65.4
46127		Triceratops			12304	"United States"	Wyoming	Niobrara	43.157778	-104.553056	Cretaceous	"Cretaceous 8"	66	65.4
46128		Edmontosaurus		Trachodontidae	12304	"United States"	Wyoming	Niobrara	43.166111	-104.911111	Cretaceous	"Cretaceous 8"	65.6	65.4
46129		Triceratops			12304	"United States"	Wyoming	Converse	43.144444	-104.911111	Cretaceous	"Cretaceous 8"	66	65.4
46130		Triceratops		Triceratops	12304	"United States"	Wyoming	Niobrara	43.236667	-104.595	Cretaceous	"Cretaceous 8"	66	65.4
46131		Triceratops		Triceratops	12304	"United States"	Wyoming	Niobrara	43.157778	-104.553056	Cretaceous	"Cretaceous 8"	66	65.4
46132		Triceratops		Triceratops	14728	"United States"	Wyoming	Niobrara	43.201389	-104.63	Cretaceous	"Cretaceous 8"	66	65.4
46133	"n. gen."	Nedoceratops	"n. gen."	Diceratops	14728	"United States"	Wyoming	Niobrara	43.217500	-104.565556	Cretaceous	"Cretaceous 8"	66	65.4
46134	"n. gen."	Torosaurus			12304	"United States"	Wyoming	Niobrara	43.233889	-104.634167	Cretaceous	"Cretaceous 8"	66.5	66.3
46135		Torosaurus		Torosaurus	12304	"United States"	Wyoming	Niobrara	43.233889	-104.634167	Cretaceous	"Cretaceous 8"	66.5	66.3
46136		Triceratops		Triceratops	12304	"United States"	Wyoming	Niobrara	43.190278	-104.548611	Cretaceous	"Cretaceous 8"	66	65.4
46138		Triceratops			12304	"United States"	Wyoming	Niobrara	43.157778	-104.553333	Cretaceous	"Cretaceous 8"	66	65.4
46151		Irenesauripus			18574	Canada	"British Columbia"		56.029722	-122.198333	Cretaceous	"Cretaceous 4"	112.000	99.600
46151	"n. gen."	Tetrapodosaurus			18574	Canada	"British Columbia"		56.029722	-122.198333	Cretaceous	"Cretaceous 4"	112.000	99.600
46151		Amblydactylus			18574	Canada	"British Columbia"		56.029722	-122.198333	Cretaceous	"Cretaceous 4"	112.000	99.600
46152	"n. gen."	Protoceratops			14566	Mongolia	Omnogov		44	104	Cretaceous	"Cretaceous 7"	83.500	70.600
46163	cf.	Albertosaurus			12323	Mexico	Sonora		31.7819	-109.61497	Cretaceous		83.500	65.000
46209		Edmontosaurus		Claosaurus	12334	"United States"	Wyoming	Niobrara	43.2695	-104.5913	Cretaceous	"Cretaceous 8"	65.6	65.4
46210		Edmontosaurus		Hadrosauridae	12319	"United States"	Colorado	Weld	40.9084	-104.7624	Cretaceous	"Cretaceous 8"	70.600	65.000
46212		Sarahsaurus		Massospondylus	12177	"United States"	Arizona	Coconino	35.689444	-111.289444	Jurassic		196.500	183.000
46317		Corythosaurus		Corythosaurus	12345	Canada	Alberta		50.8063	-111.628032	Cretaceous	"Cretaceous 7"	83.500	70.600
46318		Lambeosaurus		Corythosaurus	12345	Canada	Alberta		50.791083	-111.609739	Cretaceous	"Cretaceous 7"	83.500	70.600
46319		Corythosaurus		Corythosaurus	12345	Canada	Alberta		50.806023	-111.624338	Cretaceous	"Cretaceous 7"	83.500	70.600
46320		Edmontosaurus		Thespesius	12345	Canada	Alberta		51.61014	-112.75	Cretaceous	"Cretaceous 7"	65.6	65.4
46331		Gryposaurus		Kritosaurus	14121	Canada	Alberta		50.76413	-111.5119	Cretaceous	"Cretaceous 7"	83.500	70.600
46332	"n. gen."	Dyoplosaurus			12348	Canada	Alberta		50.749242	-111.471732	Cretaceous	"Cretaceous 7"	83.500	70.600
46333	"n. gen."	Parasaurolophus			12350	Canada	Alberta		50.750125	-111.488621	Cretaceous	"Cretaceous 7"	83.500	70.600
46335		Ornithomimus		Struthiomimus	12351	Canada	Alberta		50.806516	-111.597153	Cretaceous	"Cretaceous 7"	83.500	70.600
46351		Ornithomimus		Struthiomimus	10409	Canada	Alberta		51.5427	-112.8656	Cretaceous	"Cretaceous 8"	70.600	65.000
46358		Lambeosaurus	"n. gen."	Tetragonosaurus	12354	Canada	Alberta		50.741656	-111.488023	Cretaceous	"Cretaceous 7"	83.500	70.600
46359		Corythosaurus		Tetragonosaurus	12354	Canada	Alberta		50.688	-111.616667	Cretaceous	"Cretaceous 7"	83.500	70.600
46437		Ceratosaurus		Ceratosaurus	12377	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46437		Apatosaurus		Brontosaurus	12377	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46437		Camptosaurus			12377	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46437		Allosaurus		Antrodemus	12377	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46437		Marshosaurus			12377	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46437		Diplodocus			12377	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46437		Stegosaurus			12377	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46438		Allosaurus			35013	"United States"	Utah	Emery	39.316667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439		Camarasaurus			5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439	?	Stokesosaurus		Stokesosaurus	5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439		Coelurus			5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439		Allosaurus			5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439	"n. gen."	Stokesosaurus			5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439		Stegosaurus			5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439		Tanycolagreus		Stokesosaurus	5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46439	"n. gen."	Marshosaurus			5686	"United States"	Utah	Emery	39.216667	-110.6875	Jurassic	"Jurassic 5"	155.700	150.800
46460		Barosaurus			12387	"United States"	Wyoming	"Big Horn"	44.535556	-107.779167	Jurassic	"Jurassic 5"	155.700	150.800
46460		Camptosaurus			12387	"United States"	Wyoming	"Big Horn"	44.535556	-107.779167	Jurassic	"Jurassic 5"	155.700	150.800
46460		Camarasaurus		Morosaurus	12387	"United States"	Wyoming	"Big Horn"	44.535556	-107.779167	Jurassic	"Jurassic 5"	155.700	150.800
46460		Allosaurus			12387	"United States"	Wyoming	"Big Horn"	44.535556	-107.779167	Jurassic	"Jurassic 5"	155.700	150.800
46460		Apatosaurus			12387	"United States"	Wyoming	"Big Horn"	44.535556	-107.779167	Jurassic	"Jurassic 5"	155.700	150.800
46462		Allosaurus			15171	"United States"	Wyoming	"Big Horn"	44.535556	-107.779167	Jurassic	"Jurassic 5"	155.700	150.800
46465		Diplodocus			12389	"United States"	Wyoming	"Big Horn"	44.650000	-107.816667	Jurassic	"Jurassic 5"	155.700	150.800
46465		Stegosaurus			12389	"United States"	Wyoming	"Big Horn"	44.650000	-107.816667	Jurassic	"Jurassic 5"	155.700	150.800
46465		Camarasaurus			12389	"United States"	Wyoming	"Big Horn"	44.650000	-107.816667	Jurassic	"Jurassic 5"	155.700	150.800
46465	cf.	Apatosaurus		Apatosaurus	12389	"United States"	Wyoming	"Big Horn"	44.650000	-107.816667	Jurassic	"Jurassic 5"	155.700	150.800
